sex,age,Age_class,race_class,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_charge_degree,decile_score,score_text,v_decile_score,v_score_text,priors_count,start,end,Reoffending_Likelihood
Male,24,Young,White,0,2,0,0,1,M,2,Low,3,Low,1,1,240,2
Male,34,Adult,Other,2,9,1,3,21,F,9,High,6,Medium,21,33,514,2
Male,29,Adult,White,0,2,0,0,0,M,2,Low,2,Low,0,0,1171,1
Female,21,Young,Other,0,8,0,0,2,F,8,High,8,High,2,79,524,1
Male,51,Adult,Other,0,1,0,0,2,M,1,Low,1,Low,2,0,1128,1
Male,29,Adult,White,0,2,0,0,2,M,2,Low,2,Low,2,0,72,2
Female,51,Adult,Other,0,2,0,0,7,F,2,Low,2,Low,7,1,529,1
Male,29,Adult,Other,0,7,0,0,0,F,7,Medium,2,Low,0,0,61,2
Male,25,Young,White,0,10,0,0,9,M,10,High,9,High,9,6,8,2
Male,35,Adult,Other,1,8,0,4,13,F,8,High,3,Low,13,0,9,2
Male,49,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,973,1
Male,34,Adult,Other,0,3,0,0,4,M,3,Low,2,Low,4,0,257,2
Male,29,Adult,Other,0,4,0,0,0,F,4,Low,3,Low,0,0,1073,1
Male,29,Adult,White,0,2,0,0,1,F,2,Low,2,Low,1,0,441,2
Female,28,Adult,Other,0,2,0,0,0,F,2,Low,2,Low,0,0,865,1
Male,48,Adult,White,0,6,0,0,20,F,6,Medium,4,Low,20,0,275,2
Female,63,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,800,1
Male,31,Adult,Other,0,5,0,1,15,F,5,Medium,7,Medium,15,135,1077,1
Male,24,Young,Other,0,4,0,0,2,F,4,Low,4,Low,2,1,575,2
Male,30,Adult,Other,0,7,0,0,0,M,7,Medium,3,Low,0,23,1167,1
Male,49,Adult,Other,0,1,0,0,4,M,1,Low,1,Low,4,0,948,1
Male,53,Adult,White,0,5,0,0,8,F,5,Medium,2,Low,8,0,1039,1
Male,35,Adult,Other,0,3,0,0,5,F,3,Low,2,Low,5,0,1145,1
Male,63,Adult,Other,0,7,0,0,10,M,7,Medium,5,Medium,10,0,44,2
Male,27,Adult,Other,1,10,1,2,15,F,10,High,9,High,15,0,44,2
Male,38,Adult,White,0,2,0,0,4,M,2,Low,2,Low,4,1,272,2
Male,22,Young,Other,0,4,0,1,1,F,4,Low,6,Medium,1,0,371,2
Male,22,Young,Other,0,10,1,2,2,F,10,High,9,High,2,0,70,2
Male,29,Adult,Other,0,9,0,0,4,F,9,High,5,Medium,4,18,69,2
Male,62,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,1179,1
Male,27,Adult,Other,0,6,1,0,6,F,6,Medium,3,Low,6,30,193,2
Male,33,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,754,1
Female,56,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,3,916,1
Male,45,Adult,Other,0,1,0,0,6,F,1,Low,1,Low,6,241,323,2
Male,22,Young,Other,0,4,0,0,1,F,4,Low,6,Medium,1,0,1042,1
Male,39,Adult,Other,0,4,0,0,1,M,4,Low,2,Low,1,4,1121,1
Male,29,Adult,Other,0,6,0,0,5,F,6,Medium,3,Low,5,1,253,2
Male,27,Adult,White,0,6,0,1,1,F,6,Medium,3,Low,1,13,273,2
Male,40,Adult,Other,0,2,0,0,2,F,2,Low,1,Low,2,0,989,1
Male,22,Young,Other,0,3,0,0,1,M,3,Low,3,Low,1,17,256,2
Male,22,Young,White,0,8,0,0,0,F,8,High,6,Medium,0,57,73,1
Female,26,Adult,Other,0,4,0,0,1,F,4,Low,3,Low,1,1,11,2
Male,27,Adult,White,0,7,0,0,1,F,7,Medium,8,High,1,0,258,2
Male,32,Adult,Other,0,2,0,0,0,F,2,Low,1,Low,0,0,1124,1
Male,41,Adult,Other,0,2,0,0,1,M,2,Low,2,Low,1,1,1128,1
Male,30,Adult,Other,0,10,0,0,8,M,10,High,9,High,8,0,55,2
Male,50,Adult,Other,0,1,0,0,0,F,1,Low,2,Low,0,0,182,2
Male,25,Young,Other,1,10,6,1,14,F,10,High,10,High,14,6,100,2
Male,20,Young,Other,0,5,0,0,0,F,5,Medium,8,High,0,0,119,2
Male,22,Young,Other,1,9,0,0,2,F,9,High,10,High,2,30,175,2
Male,23,Young,Other,0,7,0,1,2,M,7,Medium,8,High,2,0,137,2
Female,35,Adult,Other,0,2,0,0,1,M,2,Low,1,Low,1,0,1098,1
Male,36,Adult,Other,0,7,0,0,9,F,7,Medium,6,Medium,9,4,27,2
Male,26,Adult,White,0,8,0,0,7,F,8,High,4,Low,7,0,377,2
Male,21,Young,Other,0,6,0,0,1,F,6,Medium,6,Medium,1,4,253,2
Male,25,Young,White,0,8,0,0,9,F,8,High,9,High,9,0,145,2
Male,71,Adult,Other,0,7,0,0,12,M,7,Medium,3,Low,12,0,1183,1
Female,20,Young,White,0,7,0,0,0,F,7,Medium,8,High,0,0,869,1
Male,39,Adult,White,0,1,0,0,2,F,1,Low,1,Low,2,0,63,2
Male,66,Adult,White,0,1,0,0,3,F,1,Low,1,Low,3,0,877,1
Female,54,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,1082,1
Female,44,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,955,1
Male,19,Young,Other,0,4,0,0,1,M,4,Low,7,Medium,1,0,104,2
Male,24,Young,Other,0,2,0,0,1,F,2,Low,3,Low,1,0,503,1
Male,30,Adult,Other,0,2,0,0,1,F,2,Low,2,Low,1,0,935,1
Female,39,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,1,52,2
Male,24,Young,White,0,6,1,2,8,F,6,Medium,6,Medium,8,11,27,2
Male,30,Adult,White,0,4,0,0,0,F,4,Low,2,Low,0,5,497,1
Male,31,Adult,White,0,5,0,0,0,M,5,Medium,2,Low,0,38,770,1
Female,39,Adult,White,0,4,0,0,1,F,4,Low,3,Low,1,106,392,1
Male,59,Adult,Other,0,9,0,0,14,F,9,High,4,Low,14,0,178,2
Male,43,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,960,1
Male,21,Young,Other,0,9,0,0,3,F,9,High,6,Medium,3,5,24,2
Male,38,Adult,White,0,4,0,0,5,M,4,Low,3,Low,5,2,55,2
Male,34,Adult,White,0,5,0,0,0,F,5,Medium,5,Medium,0,15,441,1
Male,33,Adult,Other,0,5,0,0,5,F,5,Medium,2,Low,5,0,345,2
Male,37,Adult,Other,0,2,0,0,3,F,2,Low,1,Low,3,1,102,1
Male,42,Adult,White,0,2,0,0,1,F,2,Low,2,Low,1,1,2,2
Male,41,Adult,Other,0,9,1,0,10,F,9,High,7,Medium,10,176,285,2
Male,22,Young,Other,0,4,0,0,0,F,4,Low,7,Medium,0,0,394,2
Male,33,Adult,Other,0,8,12,2,28,F,8,High,5,Medium,28,1,83,2
Male,31,Adult,Other,0,7,0,0,1,M,7,Medium,8,High,1,0,900,1
Female,30,Adult,Other,0,2,0,0,1,F,2,Low,2,Low,1,0,97,1
Male,31,Adult,White,0,10,0,0,13,F,10,High,7,Medium,13,0,55,2
Male,27,Adult,Other,0,9,0,0,3,F,9,High,4,Low,3,0,249,2
Male,56,Adult,Other,0,9,0,0,8,F,9,High,3,Low,8,0,67,1
Male,52,Adult,White,0,9,0,0,3,M,9,High,6,Medium,3,0,977,1
Male,33,Adult,Other,0,10,0,0,19,F,10,High,7,Medium,19,0,222,2
Female,64,Adult,White,0,1,0,0,2,M,1,Low,1,Low,2,0,732,1
Male,22,Young,White,0,6,0,0,4,F,6,Medium,8,High,4,0,139,2
Male,42,Adult,White,0,3,0,0,6,F,3,Low,1,Low,6,0,408,1
Female,25,Young,White,0,4,0,0,2,F,4,Low,5,Medium,2,2,359,1
Male,30,Adult,White,0,2,0,0,1,M,2,Low,2,Low,1,0,864,1
Male,28,Adult,White,0,1,0,0,2,F,1,Low,2,Low,2,0,946,1
Female,37,Adult,Other,0,2,0,0,2,M,2,Low,1,Low,2,1,823,1
Male,28,Adult,White,0,2,0,0,0,M,2,Low,3,Low,0,0,60,2
Female,24,Young,Other,0,2,0,0,0,M,2,Low,3,Low,0,1,784,1
Female,29,Adult,White,0,4,1,0,10,F,4,Low,2,Low,10,6,40,2
Male,44,Adult,White,0,2,0,0,2,M,2,Low,1,Low,2,0,216,2
Female,30,Adult,Other,0,5,0,0,4,F,5,Medium,5,Medium,4,0,37,2
Male,32,Adult,Other,0,7,0,0,3,F,7,Medium,3,Low,3,7,413,2
Male,31,Adult,White,0,3,0,0,2,M,3,Low,3,Low,2,0,48,2
Male,31,Adult,Other,0,2,0,0,1,M,2,Low,3,Low,1,0,1140,1
Male,59,Adult,White,0,2,0,0,1,F,2,Low,1,Low,1,0,164,2
Female,45,Adult,White,0,4,0,0,4,F,4,Low,3,Low,4,0,1073,1
Female,20,Young,Other,1,10,0,0,1,F,10,High,10,High,1,3,119,1
Female,43,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,1,1053,1
Male,38,Adult,Other,1,8,1,0,9,F,8,High,4,Low,9,12,129,2
Male,32,Adult,Other,0,6,0,0,11,F,6,Medium,5,Medium,11,0,24,2
Male,33,Adult,Other,0,5,0,0,8,M,5,Medium,2,Low,8,0,187,2
Female,31,Adult,Other,0,3,0,0,0,F,3,Low,2,Low,0,1,76,2
Female,33,Adult,Other,0,9,0,0,7,F,9,High,9,High,7,25,275,2
Male,27,Adult,Other,0,9,0,0,2,F,9,High,8,High,2,0,18,2
Female,20,Young,Other,0,6,0,0,0,F,6,Medium,8,High,0,0,846,1
Female,26,Adult,White,0,6,0,0,0,M,6,Medium,3,Low,0,0,795,1
Female,61,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,544,2
Male,52,Adult,Other,0,7,0,0,13,F,7,Medium,6,Medium,13,1,36,2
Male,63,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,786,1
Female,32,Adult,Other,0,10,0,0,4,F,10,High,9,High,4,0,395,2
Male,29,Adult,Other,0,4,0,0,1,F,4,Low,4,Low,1,0,938,1
Female,46,Adult,Other,0,2,0,0,1,F,2,Low,1,Low,1,0,1177,1
Female,26,Adult,Other,0,4,0,0,2,M,4,Low,4,Low,2,0,229,2
Male,55,Adult,Other,0,1,0,0,3,M,1,Low,1,Low,3,0,1009,1
Male,39,Adult,White,1,4,0,0,1,M,4,Low,4,Low,1,3,780,1
Female,30,Adult,White,0,7,0,0,3,F,7,Medium,4,Low,3,0,14,2
Male,30,Adult,Other,0,7,0,0,1,F,7,Medium,8,High,1,70,367,1
Male,48,Adult,White,0,2,0,0,2,M,2,Low,1,Low,2,0,918,1
Male,22,Young,Other,0,2,0,0,1,F,2,Low,4,Low,1,0,547,1
Male,46,Adult,White,0,1,0,0,6,F,1,Low,1,Low,6,0,22,2
Female,49,Adult,White,0,6,0,0,6,F,6,Medium,2,Low,6,0,744,1
Male,31,Adult,White,0,5,0,0,0,F,5,Medium,4,Low,0,2,719,1
Male,25,Young,Other,0,2,0,0,1,M,2,Low,3,Low,1,1,31,2
Male,23,Young,Other,0,3,0,0,0,F,3,Low,5,Medium,0,0,935,1
Female,32,Adult,Other,0,7,0,0,5,F,7,Medium,3,Low,5,0,1138,1
Male,52,Adult,Other,0,1,0,0,2,M,1,Low,1,Low,2,2,108,1
Male,62,Adult,Other,0,4,0,0,8,F,4,Low,1,Low,8,16,1151,1
Female,37,Adult,White,0,10,0,0,6,F,10,High,4,Low,6,0,417,1
Male,55,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,934,1
Male,31,Adult,Other,0,9,0,0,8,F,9,High,7,Medium,8,0,29,2
Male,28,Adult,Other,0,6,0,0,6,M,6,Medium,6,Medium,6,0,482,2
Male,54,Adult,Other,0,1,0,0,2,F,1,Low,1,Low,2,187,946,1
Male,58,Adult,Other,0,2,0,0,0,F,2,Low,1,Low,0,0,302,1
Male,78,Adult,White,0,1,0,0,1,M,1,Low,1,Low,1,0,310,2
Male,56,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,760,1
Male,24,Young,Other,0,2,0,0,0,F,2,Low,4,Low,0,1,808,1
Male,38,Adult,Other,2,8,2,1,22,F,8,High,5,Medium,22,0,238,2
Male,22,Young,Other,0,5,0,0,1,F,5,Medium,5,Medium,1,0,200,2
Male,47,Adult,Other,0,8,0,0,23,M,8,High,1,Low,23,0,9,2
Male,23,Young,Other,0,2,0,0,0,M,2,Low,4,Low,0,0,176,2
Male,57,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,20,889,1
Female,38,Adult,White,0,5,0,0,2,F,5,Medium,2,Low,2,0,155,2
Male,66,Adult,Other,0,1,0,0,3,F,1,Low,1,Low,3,0,943,1
Male,45,Adult,White,0,4,0,0,8,M,4,Low,3,Low,8,71,584,2
Female,52,Adult,Other,0,3,0,0,0,M,3,Low,1,Low,0,0,449,2
Male,32,Adult,Other,0,10,0,0,13,F,10,High,7,Medium,13,0,289,2
Male,37,Adult,Other,0,9,0,0,2,M,9,High,8,High,2,0,104,2
Male,39,Adult,White,0,4,0,0,0,F,4,Low,4,Low,0,1,389,2
Male,26,Adult,Other,0,9,0,0,9,F,9,High,8,High,9,79,173,2
Male,45,Adult,White,0,3,0,0,2,F,3,Low,4,Low,2,358,1155,1
Male,23,Young,Other,0,3,0,0,0,F,3,Low,4,Low,0,0,320,2
Male,34,Adult,Other,0,2,0,0,2,M,2,Low,1,Low,2,26,758,1
Female,23,Young,Other,0,4,0,0,1,M,4,Low,4,Low,1,0,954,1
Male,36,Adult,Other,0,3,0,0,2,M,3,Low,1,Low,2,2,598,2
Male,50,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,879,1
Female,37,Adult,White,0,3,0,0,0,M,3,Low,1,Low,0,0,875,1
Male,44,Adult,White,0,4,0,0,4,M,4,Low,4,Low,4,1,1181,1
Female,35,Adult,Other,0,9,1,0,23,F,9,High,9,High,23,1,318,2
Male,24,Young,Other,0,5,0,0,5,F,5,Medium,4,Low,5,0,54,2
Male,26,Adult,Other,0,10,0,0,2,F,10,High,8,High,2,0,379,2
Male,27,Adult,Other,0,2,0,0,0,M,2,Low,3,Low,0,2,1102,1
Female,28,Adult,Other,0,8,0,0,0,F,8,High,6,Medium,0,29,885,1
Male,43,Adult,White,0,5,0,0,11,F,5,Medium,3,Low,11,0,48,2
Female,28,Adult,White,0,9,0,0,7,F,9,High,6,Medium,7,0,216,2
Male,38,Adult,Other,0,1,0,0,2,F,1,Low,1,Low,2,0,61,1
Male,27,Adult,White,0,4,0,0,2,M,4,Low,3,Low,2,0,765,1
Female,28,Adult,Other,0,9,0,0,1,F,9,High,7,Medium,1,38,889,1
Male,56,Adult,White,0,1,0,0,7,F,1,Low,1,Low,7,0,245,2
Male,38,Adult,Other,0,9,0,0,15,F,9,High,3,Low,15,1,1137,1
Male,28,Adult,Other,0,5,0,0,2,M,5,Medium,4,Low,2,0,883,1
Male,45,Adult,Other,0,6,0,0,3,F,6,Medium,4,Low,3,0,104,1
Male,28,Adult,Other,0,2,0,0,0,M,2,Low,3,Low,0,0,1183,1
Male,61,Adult,White,0,1,0,0,1,F,1,Low,1,Low,1,0,1108,1
Female,51,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,169,2
Male,51,Adult,White,0,2,0,0,0,M,2,Low,2,Low,0,0,883,1
Male,36,Adult,Other,0,1,0,0,1,M,1,Low,1,Low,1,0,229,2
Male,48,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,1174,1
Male,37,Adult,White,0,3,0,0,4,F,3,Low,4,Low,4,2,516,2
Female,30,Adult,Other,0,7,0,0,2,F,7,Medium,4,Low,2,2,1054,1
Female,41,Adult,Other,0,6,0,0,5,M,6,Medium,3,Low,5,0,878,1
Male,27,Adult,Other,0,10,0,0,11,F,10,High,9,High,11,222,433,2
Male,37,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,870,1
Male,33,Adult,Other,0,4,0,0,4,F,4,Low,2,Low,4,2,314,2
Male,54,Adult,Other,0,9,0,0,11,F,9,High,9,High,11,129,1060,1
Male,23,Young,Other,0,9,0,0,2,F,9,High,5,Medium,2,71,1058,1
Female,26,Adult,Other,0,4,0,0,2,F,4,Low,6,Medium,2,0,283,2
Male,41,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,1,797,1
Male,52,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,0,1051,1
Male,43,Adult,White,0,4,0,0,13,F,4,Low,1,Low,13,51,161,2
Male,52,Adult,Other,0,4,0,0,0,F,4,Low,3,Low,0,13,787,1
Male,28,Adult,White,0,1,0,0,1,F,1,Low,2,Low,1,0,1050,1
Male,30,Adult,Other,0,9,0,2,11,M,9,High,4,Low,11,0,119,2
Male,28,Adult,White,0,5,0,0,1,F,5,Medium,3,Low,1,6,917,1
Male,22,Young,Other,0,4,0,0,0,F,4,Low,6,Medium,0,0,1134,1
Male,30,Adult,Other,0,2,0,0,4,F,2,Low,2,Low,4,0,1123,1
Male,25,Young,Other,0,4,0,0,4,F,4,Low,4,Low,4,1,880,1
Male,31,Adult,White,0,8,0,0,0,F,8,High,5,Medium,0,30,401,2
Male,37,Adult,White,0,2,0,0,0,F,2,Low,1,Low,0,34,172,2
Male,32,Adult,Other,0,9,1,0,14,F,9,High,8,High,14,0,836,1
Male,26,Adult,Other,0,8,1,0,4,M,8,High,6,Medium,4,0,649,1
Male,53,Adult,White,0,1,0,0,1,M,1,Low,1,Low,1,0,1171,1
Male,28,Adult,Other,0,8,0,0,25,F,8,High,9,High,25,0,29,2
Male,44,Adult,White,0,5,0,0,8,M,5,Medium,3,Low,8,4,136,2
Male,25,Young,Other,0,3,0,0,0,F,3,Low,4,Low,0,0,938,1
Male,22,Young,White,0,8,0,1,1,M,8,High,7,Medium,1,6,531,2
Female,37,Adult,Other,0,1,0,0,0,M,1,Low,1,Low,0,0,844,1
Female,40,Adult,Other,0,2,0,0,3,F,2,Low,1,Low,3,0,891,1
Male,36,Adult,White,0,7,0,0,8,F,7,Medium,9,High,8,0,150,2
Male,30,Adult,White,0,2,0,0,4,F,2,Low,2,Low,4,0,779,1
Male,22,Young,Other,0,9,0,0,3,M,9,High,9,High,3,0,33,2
Female,24,Young,White,0,7,0,0,1,M,7,Medium,5,Medium,1,0,394,2
Male,27,Adult,Other,0,2,0,0,3,M,2,Low,3,Low,3,0,366,2
Female,31,Adult,Other,0,2,0,0,0,M,2,Low,2,Low,0,0,1119,1
Male,23,Young,Other,0,6,0,1,1,F,6,Medium,4,Low,1,0,82,2
Female,23,Young,White,0,5,0,4,5,F,5,Medium,7,Medium,5,0,607,2
Male,24,Young,Other,0,8,0,0,0,M,8,High,7,Medium,0,0,1152,1
Male,29,Adult,Other,0,3,0,0,1,M,3,Low,3,Low,1,0,731,1
Male,20,Young,Other,0,8,0,0,1,F,8,High,7,Medium,1,0,104,2
Male,30,Adult,Other,0,6,0,0,2,F,6,Medium,5,Medium,2,1,55,2
Male,39,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,204,1
Male,27,Adult,Other,0,4,0,0,4,F,4,Low,4,Low,4,0,700,1
Male,31,Adult,White,0,4,0,0,2,M,4,Low,3,Low,2,0,812,1
Female,37,Adult,Other,0,1,0,0,2,F,1,Low,1,Low,2,1,294,1
Male,20,Young,Other,0,8,0,0,0,F,8,High,6,Medium,0,2,772,1
Male,22,Young,Other,0,7,0,1,0,F,7,Medium,6,Medium,0,2,66,1
Female,52,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,0,973,1
Female,23,Young,Other,0,4,0,0,0,F,4,Low,4,Low,0,3,468,2
Female,48,Adult,Other,0,2,0,0,0,F,2,Low,3,Low,0,1,870,1
Male,66,Adult,Other,0,6,0,0,8,F,6,Medium,1,Low,8,0,571,2
Male,25,Young,White,0,5,0,0,0,F,5,Medium,4,Low,0,0,355,1
Male,27,Adult,White,0,6,0,0,0,F,6,Medium,7,Medium,0,1,220,2
Male,30,Adult,Other,0,7,0,0,11,F,7,Medium,6,Medium,11,1,197,2
Male,22,Young,Other,0,10,1,1,3,M,10,High,7,Medium,3,0,4,2
Female,22,Young,White,0,3,0,0,1,F,3,Low,4,Low,1,0,822,1
Male,35,Adult,Other,0,10,0,0,2,F,10,High,8,High,2,0,798,1
Male,32,Adult,White,0,4,0,0,2,F,4,Low,4,Low,2,0,938,1
Female,41,Adult,Other,0,3,0,0,2,M,3,Low,1,Low,2,0,970,1
Female,25,Young,Other,0,2,0,0,0,F,2,Low,3,Low,0,0,793,1
Male,44,Adult,Other,0,7,0,0,24,M,7,Medium,3,Low,24,0,53,1
Male,52,Adult,Other,0,6,0,0,3,F,6,Medium,2,Low,3,25,43,2
Male,43,Adult,Other,0,1,0,0,0,F,1,Low,1,Low,0,40,1092,1
Male,37,Adult,White,0,1,0,0,3,F,1,Low,1,Low,3,0,758,1
Male,28,Adult,Other,0,4,0,0,3,M,4,Low,3,Low,3,0,299,2
Male,70,Adult,White,0,1,0,0,1,M,1,Low,1,Low,1,0,1079,1
Male,54,Adult,White,0,2,0,0,6,F,2,Low,1,Low,6,0,414,2
Male,46,Adult,White,0,4,0,0,3,F,4,Low,2,Low,3,13,1066,1
Male,21,Young,Other,0,9,0,0,0,M,9,High,7,Medium,0,0,278,2
Male,26,Adult,Other,0,8,0,0,1,M,8,High,6,Medium,1,1,415,2
Male,38,Adult,Other,0,1,0,0,3,F,1,Low,1,Low,3,0,23,2
Male,34,Adult,White,0,4,0,0,5,M,4,Low,4,Low,5,0,802,1
Male,19,Young,Other,0,5,0,0,1,F,5,Medium,7,Medium,1,0,472,2
Male,34,Adult,Other,0,4,0,0,5,M,4,Low,4,Low,5,0,849,1
Male,23,Young,White,0,5,0,0,0,F,5,Medium,5,Medium,0,1,373,2
Male,34,Adult,Other,0,4,0,0,5,F,4,Low,2,Low,5,2,171,2
Male,30,Adult,Other,0,1,0,0,2,F,1,Low,2,Low,2,0,889,1
Male,39,Adult,Other,0,3,0,0,6,F,3,Low,1,Low,6,2,48,2
Male,24,Young,Other,0,3,0,0,0,F,3,Low,5,Medium,0,0,1088,1
Male,33,Adult,White,0,3,0,0,1,M,3,Low,2,Low,1,0,412,2
Male,58,Adult,White,0,3,0,0,2,F,3,Low,1,Low,2,1,1133,1
Female,21,Young,Other,0,6,0,0,0,M,6,Medium,7,Medium,0,1,1186,1
Male,21,Young,Other,0,5,0,0,1,F,5,Medium,7,Medium,1,0,955,1
Male,23,Young,Other,0,8,0,1,4,M,8,High,5,Medium,4,0,246,2
Male,62,Adult,White,0,1,0,0,0,F,1,Low,1,Low,0,2,444,1
Male,27,Adult,Other,1,8,0,1,4,M,8,High,10,High,4,0,300,2
Male,37,Adult,White,0,3,0,0,5,F,3,Low,1,Low,5,10,851,1
Male,43,Adult,Other,0,2,0,0,2,F,2,Low,1,Low,2,7,614,2
Female,32,Adult,Other,0,1,0,0,5,F,1,Low,1,Low,5,0,852,1
Male,23,Young,Other,0,3,0,0,0,F,3,Low,5,Medium,0,45,463,1
Male,27,Adult,Other,0,1,0,0,0,M,1,Low,2,Low,0,1,1089,1
Male,44,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,0,570,2
Male,28,Adult,White,0,3,0,0,3,M,3,Low,3,Low,3,0,412,2
Female,42,Adult,White,0,2,0,0,0,F,2,Low,1,Low,0,0,57,1
Male,24,Young,Other,0,10,1,0,9,F,10,High,10,High,9,4,80,2
Male,27,Adult,Other,0,2,0,0,0,F,2,Low,3,Low,0,17,808,1
Male,20,Young,Other,0,10,0,0,0,F,10,High,9,High,0,0,30,2
Female,51,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,1,741,1
Male,56,Adult,White,0,1,0,0,0,M,1,Low,1,Low,0,1,842,1
Male,29,Adult,Other,0,9,0,0,7,F,9,High,6,Medium,7,0,1072,1
Male,20,Young,Other,0,9,0,0,0,F,9,High,8,High,0,209,258,2
Male,53,Adult,White,0,1,0,0,6,F,1,Low,1,Low,6,0,911,1
Male,27,Adult,White,0,5,0,0,8,F,5,Medium,3,Low,8,67,370,1
Male,24,Young,Other,0,9,1,0,2,F,9,High,9,High,2,18,69,2
Male,53,Adult,White,0,6,0,0,36,F,6,Medium,9,High,36,26,148,2
Male,28,Adult,White,0,3,0,0,2,M,3,Low,4,Low,2,1,107,2
Male,45,Adult,Other,0,1,0,0,1,F,1,Low,1,Low,1,0,1115,1
